Protein,Gene,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Mild_1,Mild_2,Mild_3,Mild_4,Mild_5,Mild_6,Moderate_1,Moderate_2,Moderate_3,Moderate_4,Moderate_5,Moderate_6,Severe_1,Severe_2,Severe_3,Severe_4,Severe_5,Severe_6,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
AKT1_HUMAN,AKT1,37838.80487974111,35232.377726076,30579.901744489303,47625.79240367703,36206.05054720507,38468.33832852047,42968.89362270392,51411.879381645034,37020.3722855235,38404.764063551236,30987.391810960045,37084.96860027852,30916.066800707038,34895.456985666104,41874.60672966145,39410.56568495336,43054.94847766268,38786.24334754277,155705.65531828714,0.0,156902.10766308545,119981.43118899317,123533.7751731337,124733.958622968,49163.354828662865,33350.63685345968,40147.49175801788,39771.067192208466,37899.664602038865,33174.64911446285
AKT1S1_HUMAN,AKT1S1,40211.59652217014,40175.4044343978,56213.00856176863,42410.62082915697,39813.10639633048,55101.46806167579,52354.51693395683,47486.32084846552,44087.11138494451,31655.202907420946,42433.84184476003,46475.16565070544,40585.75607752095,40594.3679405233,64895.018533112954,36906.54076207974,49813.09619793669,0.0,49010.104327875226,39680.42909943391,0.0,45257.29339504856,61501.88932077885,58431.29316869931,41511.383946610054,40903.394196803914,39088.07958149144,40980.43364068754,57241.79563697597,60770.95111928163
AKT2_HUMAN,AKT2,52647.84022561247,67798.14027694851,57121.32087888086,55254.378083921794,56311.96527223396,64850.44154559672,42568.32960425221,54487.060388337806,52502.26545002013,65136.89664183293,64459.73750648685,67105.52005377246,63487.87506038319,60851.70070028304,50989.84679445503,60005.14428321011,54570.03209879036,53322.025947524504,41294.69264931674,67902.51019421539,49857.566741983115,57423.23989174237,76765.58121695777,66161.92462146527,53780.0487338748,84173.05207068766,67597.14690344235,50900.44888128985,53924.52425700331,67596.01071449976
AKT3_HUMAN,AKT3,21733.48302583794,0.0,0.0,0.0,0.0,25497.271423081627,19630.220848892015,18593.431429249868,18536.692149905986,20689.19350758461,14576.381871664336,0.0,0.0,0.0,0.0,18446.658587039332,0.0,19362.691466760843,20724.646051288633,20286.19433926966,22222.17734899371,0.0,21000.031047432967,15228.20175327201,18226.9607393446,23724.259537411734,16761.275175429964,21295.59259157939,17424.82119759595,19531.3347924262
ALB_HUMAN,ALB,18813.230605586257,30898.198921040137,29757.269441123877,21288.951416205266,20344.593947875204,18614.83637774471,0.0,24491.65251862278,0.0,0.0,20505.42161000201,27943.351415944027,30084.80454675734,22696.487475600094,0.0,0.0,22426.14462100812,27109.32242255037,0.0,0.0,22696.55675826518,23950.46839596507,27707.649400397815,26124.213418729207,24549.32529045708,25053.277329942957,28237.038216025343,22496.680084827665,20399.162277235748,22565.035073201878
APOA1_HUMAN,APOA1,12122.126472328764,8092.695227662425,10959.43247662135,7732.350361902057,9166.07810373837,10081.377691651061,8619.445494131218,8290.227155796494,9702.453332104837,0.0,10736.634951106967,8347.92258587029,9815.384821367064,8349.40436038368,8955.07014024177,8927.819948208211,10565.413086911387,9956.31172596713,7669.371114139439,7340.473732147273,7636.847712824579,8036.118945168649,10663.458876197667,9331.382615106082,10733.584475973123,8087.871747259097,8727.324465156988,8516.106575021739,7216.916606684199,10903.77988175736
APOA2_HUMAN,APOA2,12970.791531531617,12670.01774323544,15958.077561801287,17817.914062932254,0.0,16482.255543135812,19178.693739868486,13952.131108681431,11860.366504115103,16573.192747673253,14474.718932203861,16771.327392455183,20332.775128691323,17929.686568622852,0.0,14048.963702519297,18040.50642044522,17944.525889388,0.0,15912.583530779577,13371.976027263001,15957.065902702514,18540.121936653122,13805.271895623135,16854.557498788705,20731.53619212942,16990.231557657367,16823.238862909806,15752.509683393131,17189.156269623676
APOA5_HUMAN,APOA5,10994.28320418274,6198.539016764137,0.0,7262.011337221743,5955.532085110071,6116.133293119285,5966.401930832085,6917.734423004013,5083.373130015929,6212.969122993794,5791.490179763927,6463.75412320368,7363.044442595032,7358.327040809576,6969.426259228019,7457.603141244432,6563.021316101678,6782.401275629432,0.0,7019.075000059139,6523.116770675887,5342.481807769103,0.0,9612.144104662762,5424.315001731725,6928.140896887071,5245.064528643951,8668.421282579035,9081.710211903457,8063.708814161836
APOB_HUMAN,APOB,0.0,76656.06385139843,70953.62690713747,64212.14893640511,78044.34199061526,90066.03936093936,84113.8705650361,76008.96724908445,101419.69588239184,64924.40885896603,69478.85945437467,90617.56028288396,59140.09605699072,64903.86198935635,77134.20000267698,86183.10818895015,86263.1293554064,94091.02338431578,85225.06161665433,68283.63259039274,74081.0429495074,73431.15152066787,88896.90742483811,87427.25344678482,73607.57219021978,61187.95482779489,80875.47243036643,62767.60032142617,66954.84594584326,80487.30083952143
APOC1_HUMAN,APOC1,13581.420584535515,11671.163681434851,0.0,0.0,0.0,14608.329051467228,11702.687777940033,12203.52638775981,13688.072325422967,0.0,0.0,12857.48112551552,16200.905727859299,0.0,9702.87153028193,0.0,12430.080349748496,12180.89573497747,0.0,13299.161753506309,14813.44687092162,0.0,14451.614960638348,11647.66965869929,9219.914510028937,13840.453483418383,11179.549004471088,10331.05790966333,13382.122846425567,13330.220131256749
APOC2_HUMAN,APOC2,0.0,10142.814158992525,0.0,6791.652778211109,0.0,0.0,0.0,11478.189769235445,7657.928110581753,10067.190730542956,9613.363633624584,7442.050940638517,8050.751888091072,9484.59578695549,10128.263509064895,7794.154591882131,0.0,7148.050297332038,10501.25571999285,0.0,8509.208151504523,7137.916506038165,8437.339850377599,8650.486789898136,9300.051021755971,6597.656012765414,9627.015432569528,8301.990916970273,10026.60567500733,9409.187353757166
APOC3_HUMAN,APOC3,25352.569247445314,29553.12698122349,0.0,0.0,26120.892653402374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25540.161044457473,0.0,41103.289553685376,0.0,0.0,0.0,0.0,30873.395429179436,0.0,0.0,32341.77194497683,29307.14128522415,38429.48114699762,35039.821838584205,29937.90741987373,24373.656801294583
APOE_HUMAN,APOE,21141.58528347524,28716.923036528908,27630.861031376986,20687.3542628317,0.0,21829.101044085717,20650.03346647765,18955.075544510157,23995.912808308,24305.240146419907,23076.858635951507,20301.5770437853,25553.520933142456,22478.30889230572,27145.31169646979,25302.16138481634,22882.546484901803,28051.662730673303,21894.967996440937,0.0,24700.580239414707,27358.361381665272,23822.00323893246,24922.74094436036,25504.880131312333,23341.08892260903,25461.36272479731,25323.085832960074,19059.837993173078,29784.478739771173
ATF4_HUMAN,ATF4,13779.00029994365,11344.573956278762,12953.837257247269,11332.08689342081,12499.639188598523,0.0,0.0,11917.989327912728,13670.081479638917,13088.807000065954,13993.320242027596,13838.917674673274,12180.951693205301,9683.271952314026,12216.779000209506,12793.220060821937,12678.327187921794,0.0,12481.39661507482,10268.467585296159,12439.257508356211,14890.882455327912,9671.144717738316,10499.524511090794,11266.479479259962,13531.874855518534,18223.397570464196,11984.874054764123,11324.389583184655,10884.860540859143
ATF6_HUMAN,ATF6,24397.021606523034,32204.738627218543,32955.1062528678,39589.858227434364,23595.28448796404,31797.997891961677,0.0,0.0,0.0,32973.685384039345,0.0,31406.206326768723,30557.198271069134,0.0,0.0,0.0,0.0,28432.16344421637,29135.290765010726,0.0,31033.887381823126,39647.97436433574,35423.67622850008,0.0,25735.017821799032,33354.05420075902,34400.64098016108,31004.77690084702,30419.85193597738,29607.8871041555
BAX_HUMAN,BAX,0.0,0.0,0.0,0.0,12235.1077191046,11993.086865097228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11388.050060240592,15678.164021509738,13605.010409046405,0.0,0.0,10099.897348339204,0.0,16016.227330864805,0.0,11701.654898783,0.0,12886.673892533618,13505.0214226849,10236.470853242488,11751.36454099767,14416.630042847166,11920.207073635904
BCL2_HUMAN,BCL2,31368.086440650095,39242.256200332224,49169.7847358351,0.0,34296.14130157948,35091.28751718889,19628.988276294007,19014.079081078195,0.0,24040.908372367045,18064.758688276357,16042.805997250895,5572.2395281741565,0.0,5356.410751260612,6084.5428255429015,5618.319321776352,5350.366019833446,5172.636012856372,6301.437552320726,5096.1638558517625,5335.080736868952,4267.765995176206,5315.655196641053,35614.513803506095,37360.72129668276,33744.52141791968,30103.589711456912,38517.06998934755,39729.43254784853
C3_HUMAN,C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35282.36359650714,0.0,0.0,42755.15258583094,44200.3770461196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44823.86250728506,0.0,18975.852863080658,16174.017437778635,18624.361425201758,15324.70298269767,27881.72494955453,19792.376699191995
C4A_HUMAN,C4A,25249.0447431392,30447.218082201907,26263.27332430778,0.0,25857.30608602149,26852.870952081023,25821.283893049822,31024.26505889468,25049.07943647609,18670.630811293206,27466.843552274542,31501.290618957923,24408.370301083836,23186.187687432288,24814.97674206557,19183.64917527874,23277.198691491572,0.0,30212.75916119747,25339.691986231923,30287.030285103032,22180.340391750004,39453.22130248257,0.0,23255.416207541155,33124.182561061585,22989.459812693447,28342.728256535505,41557.6890354868,25117.74275829185
CAP1_HUMAN,CAP1,11180.828600528486,15048.647601270044,13502.243337430686,12986.091414318798,16137.804797663075,17403.455151188977,15895.033577376973,15744.025962582105,11898.856047114277,13791.016315480423,16857.736211776697,0.0,15971.353263533812,12998.148396907887,0.0,13012.360708637378,16753.977610880942,0.0,14998.33717385535,14533.743724443291,12357.66049980251,12165.278455829928,20523.37228613915,13151.499799493386,11163.455511502487,15582.17106249662,13781.758448822753,15121.824078449574,14854.470020503808,12408.914396079219
CASP1_HUMAN,CASP1,8214.126976616859,11065.487732407886,13326.574143879125,10534.137114017105,11541.029548291219,12497.504377610949,10199.05098262853,9913.117339129985,10231.492401884156,12706.480785959284,12009.924142889564,0.0,9227.796082755085,14815.267455252926,11262.858429265718,10742.49945252294,12343.438906474827,0.0,10974.757107634237,12328.35728464256,14963.966068032303,12190.354824337002,0.0,9531.488964987067,9512.099369033249,9919.167243141974,10183.328463722119,9268.19422756748,10690.432227052284,10921.484368483782
CASP3_HUMAN,CASP3,24068.692095100694,21745.674311031584,32297.241677573333,31448.80696185171,26817.611448930016,28308.778798507938,0.0,31342.382328523763,30640.856418298088,27595.124976848852,26343.03142472065,25127.353912918355,30530.348367869352,36890.54776888096,28600.453949107505,31762.885460562175,33452.61388679388,28009.199865896266,74839.62281848748,89497.05974165974,115041.89915050875,96123.00645961937,117021.85686469571,86995.53955831197,30700.446197042416,25266.950213663604,25467.042791219756,31308.429369313566,31100.47442551219,23004.89427087811
CASP9_HUMAN,CASP9,5091.052281089155,4620.799316025148,5052.3409695373575,5113.463681638711,4721.767583273061,5308.9213973643255,4281.024764148834,5253.938587739429,3298.4088039123217,4467.1948417088415,4160.577135728603,4604.462276705721,5651.6210373464255,5622.7112741687815,0.0,4657.008423768173,3458.8454235456015,4797.3531091393015,14214.202190969692,12735.584715830562,12732.279480507877,17725.310326900697,0.0,12829.11931990134,5198.057407873084,4921.777843884951,4520.605335284165,4108.544918925684,4649.097730369822,4429.922844690505
CAT_HUMAN,CAT,66345.66519712364,0.0,112887.75481980735,0.0,95486.13398892776,99261.11835983474,80986.41158308294,97025.58400908211,119837.51122927963,93861.47730907165,90110.63399551288,88352.7532308743,102749.62772817657,94101.64881413693,95963.24456714466,80248.57592794635,82542.14815115121,100626.99179681878,0.0,106239.04667690187,99222.24545723216,78269.54238714867,95838.86248598652,80731.47035453512,106799.29741768057,82046.52282421011,64118.11649507254,130091.87289901587,93700.75879790858,85651.102941801
CBL_HUMAN,CBL,15060.761253435036,0.0,13247.912842516065,12110.243232180985,12125.722290334352,12433.070889409759,15640.802537278068,14349.59406656683,13874.4974357841,12697.031154388858,13036.667273450425,0.0,14666.998762724326,15364.463172988573,14134.367762676944,13781.85228330206,15799.278095097168,16069.796493647038,46266.53737311947,47252.360806150806,54618.510606630385,60596.114643864734,56365.23393203327,53807.15914933367,14832.681902768936,11884.346690241748,12254.90210021441,14412.04293919272,13340.184713637147,14999.380791266874
CCL2_HUMAN,CCL2,0.0,0.0,0.0,181651.40471111424,137756.4873214038,166964.11379587176,204579.4276280131,152754.98041167427,0.0,0.0,182440.9241918094,239320.32345605968,145058.2158972937,166160.51707543968,0.0,0.0,187527.83846835638,0.0,0.0,180776.03893197796,169328.18159807957,152823.92752128857,172545.46040112618,0.0,150309.61665949356,180521.86401554153,234019.03877657617,144659.30199724346,147040.67427407193,182606.10683130022
CCR2_HUMAN,CCR2,0.0,38378.372209673056,0.0,0.0,0.0,55050.62704958267,0.0,0.0,0.0,0.0,42487.434860807094,0.0,46472.32998518085,0.0,0.0,0.0,0.0,0.0,34004.507450514124,42347.784581253174,41591.65012799603,0.0,0.0,40341.89473884535,49463.70614282708,40087.90468514864,52670.24194411006,37251.9198082901,39288.33321938073,30871.126583284138
CDKAL1_HUMAN,CDKAL1,0.0,26744.51288024938,16705.845511981606,20356.893760649487,22221.664705111332,0.0,24776.515608332465,28660.328822989082,19402.659406596475,19160.968496994814,23498.861119242487,18152.480906929322,0.0,21032.564805076832,18123.517971884394,18674.452762345867,18198.037086785014,19295.232524398143,20877.923350153553,17411.795728228135,31538.210619012756,14201.66250754036,24488.97785158395,19150.059469248205,17983.807104522155,19360.711082376838,23261.39932950799,18913.816543791225,19668.25798718587,19327.033525522842
CDKN1A_HUMAN,CDKN1A,10563.83534914874,14215.209079715754,13290.682387892499,12415.426463035987,14035.885152259305,13859.777376860848,12608.969393730997,11633.67509427433,0.0,13082.68345869815,14427.868250394878,12078.990285089913,13429.820899648521,13226.651899148956,9631.389907383054,9898.518807464596,14818.696497266154,11430.877904951187,10527.093592383013,15035.271755233434,9807.478378667236,14513.057071118903,13351.350098481742,12563.633284038333,10493.515772883753,13509.771773065035,10748.696134727015,13073.174425307387,12408.676078189927,12449.756987608327
CDKN2A_HUMAN,CDKN2A,32118.87065870793,30371.09275383898,35664.886031547656,40421.13059315724,34956.42622611817,29646.589282214627,39335.30130689052,37607.96340176784,37373.336257578485,36518.07462327761,30486.03217572604,33253.2745753539,36235.03226277118,41535.379705724605,38361.74954382105,38000.037319901916,50791.61097643298,0.0,32925.92433808115,38168.47293498584,0.0,36653.73777224777,35900.5282005699,29245.570407712446,29344.859346354227,41307.362270814396,35426.278726674944,34065.13331554593,40336.971586872685,38574.30691691971
CDKN2B_HUMAN,CDKN2B,39173.40387943351,32035.72210928411,35633.39895661025,47683.00482008116,0.0,33348.19640715216,39401.86723503451,38615.99783168514,0.0,34014.2322148431,36442.890934998475,0.0,37418.1393042214,0.0,42448.59414633909,0.0,0.0,36707.220767433435,29001.400954330664,37318.83487386627,0.0,31305.401036419684,32927.06436145863,0.0,37912.01593511436,25482.020576319836,37284.63055708169,35437.245351115875,32329.03526039056,34145.52178496748
CETP_HUMAN,CETP,29434.7526373468,35965.84393862151,31128.19647835603,32449.15688617136,29027.422331077698,0.0,23563.67820347365,32261.514443961816,21386.59126006981,0.0,28715.65699963418,35904.309062405846,0.0,44975.7415956573,42945.39824260947,30146.862649615094,40892.67077745252,37065.75228202707,35245.60180137842,29573.125013583314,32501.873309209786,35778.976798103584,40667.46694341246,29599.44284057138,34994.17393873239,27438.979340204005,38316.29271838676,36512.56537388307,35693.56625000189,35688.54791565333
CFB_HUMAN,CFB,0.0,55266.583446831995,0.0,47579.45816013481,0.0,0.0,0.0,35902.953014436804,0.0,0.0,0.0,43831.30415025923,0.0,0.0,0.0,12890.402202508387,15013.896958721773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48723.23369328681,33738.249272686655,53171.117659171374,39705.02076193127,38025.42279430308,61639.92785348617
CHUK_HUMAN,CHUK,27357.817699509982,20402.05301258245,29482.702222552758,26602.893119651995,24416.95224112402,24344.121567681876,21441.128972209408,23258.430491238378,34787.874697317,24419.739346957016,22289.150227586557,26839.523708723147,25774.51971956209,21299.173771470218,23463.65098769215,20891.607671420494,0.0,26896.55272456639,21359.364378833132,24850.32648042975,31100.363171869856,25971.316537560866,24925.059387493544,26043.58014527607,21254.95474138101,26860.851867839847,20615.210555115566,26295.349293094165,30798.566791729256,24332.09388166209
CKM_HUMAN,CKM,75640.70795660598,0.0,73371.57303558981,59575.23836886371,0.0,70723.44249688323,0.0,65760.90824094276,62235.04634616889,67987.40028404078,74196.73954495166,86588.22049364304,79391.33146419236,76141.28063382111,61247.52080145347,63076.658810707435,47497.44105707723,67485.44993852748,71372.07691492258,89802.65324407352,0.0,65618.95520084193,0.0,0.0,61891.328304524,97337.68395952939,84672.98759887068,71227.32195382219,70355.9578947669,48763.49882252649
CPT1A_HUMAN,CPT1A,10249.35986624994,9590.055406689513,11357.765239377268,9153.153576191684,8658.118504610547,12108.73651425591,5476.664475074356,6267.621558952862,6631.4444340344335,8127.890399815213,6105.900834919506,6328.670802106942,2197.4780992088517,2291.795617183662,1664.9270326998223,0.0,2363.6822034357033,1530.2919884353012,1679.903757214435,925.0954718141367,1520.2821253282968,1416.498489008869,1659.7209042662917,1594.1653705285034,10102.659568152467,11760.63000614107,9346.102579037532,8717.45877812273,7950.380431542584,10383.588339427599
CPT1B_HUMAN,CPT1B,24903.688728798097,19858.226084836086,18419.58646090091,13209.455382149516,21087.907974597438,22303.775862716295,16500.42068149268,15148.193068759476,14260.898785273588,14157.450494809817,18737.31136316538,20674.047858761307,18904.11356715797,22748.026337768206,17884.070999294654,0.0,17054.531032930885,17693.57461203978,25009.344180993507,0.0,20243.22858873231,22709.71206155793,15995.504866609763,25436.82212766436,15569.724453741084,20197.430165941834,22468.33273201765,18545.041276967724,19597.044101189946,16951.852628966117
CPT2_HUMAN,CPT2,0.0,0.0,39145.42000666801,40371.28901849485,0.0,45156.68777758027,41967.920865184955,34557.48523651997,40194.40995083628,0.0,42789.23058713196,45421.636173854815,44045.48143795662,41947.99690042729,43651.57324427916,37167.58181108569,52022.28445172498,48665.15006726067,36662.49198513765,0.0,43794.439756464904,43668.69357127967,0.0,0.0,47817.41313708025,44062.90979071813,39191.756574246036,38680.309390055045,35231.78378377061,32122.448750296033
CRP_HUMAN,CRP,10220.752362502777,12768.36207357849,0.0,0.0,11674.813097846596,10113.219658840715,0.0,7483.389766160933,11861.773436534044,0.0,11378.329088503076,0.0,10801.366133584024,0.0,0.0,0.0,0.0,0.0,11982.171341030013,0.0,0.0,7510.853668190351,0.0,0.0,9517.013720657114,10798.187361246875,10780.881096415498,13439.94436460871,10024.572794512893,8492.790301824816
